[2025-01-19T12:11:24.146Z] INFO: Server is running on port 3000
[2025-01-19T12:11:27.050Z] INFO: Connected to MongoDB
[2025-01-19T12:12:39.881Z] INFO: Server is running on port 3000
[2025-01-19T12:12:42.678Z] INFO: Connected to MongoDB
[2025-01-19T12:15:37.450Z] INFO: Server is running on port 3000
[2025-01-19T12:15:38.404Z] INFO: Connected to MongoDB
[2025-01-19T12:26:48.999Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:26:49.125Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:49.280Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 4.00 ms
[2025-01-19T12:26:49.294Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:26:49.461Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:49.555Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:49.672Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:26:49.678Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:26:49.803Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:49.903Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:50.032Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:50.039Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:50.200Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:50.296Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:50.416Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:26:50.421Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:50.568Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:50.661Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:50.825Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:50.829Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:50.960Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:51.056Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:51.202Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:26:51.212Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:51.407Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
